Exercise_Name,Exercise_Image,Exercise_Image1,muscle_gp_details,muscle_gp,equipment_details,Equipment,Rating,Description
Single-arm incline rear delt raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14n-single-arm-incline-rear-delt-raise-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14n-single-arm-incline-rear-delt-raise-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.0,"A moderately rated exercise targeting the Shoulders using dumbbell. Single-arm incline rear delt raise is designed to improve strength, flexibility, and endurance."
Alternating dumbbell front raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14d-alternating-dumbbell-front-raise-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14d-alternating-dumbbell-front-raise-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.0,"A moderately rated exercise targeting the Shoulders using dumbbell. Alternating dumbbell front raise is designed to improve strength, flexibility, and endurance."
Hanging toes-to-bar,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-128c-hanging-toes-to-bar-m1-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-128c-hanging-toes-to-bar-m2-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.0,"A moderately rated exercise targeting the Abdominals using body only. Hanging toes-to-bar is designed to improve strength, flexibility, and endurance."
Narrow-stance squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-30a-narrow-stance-squat-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-30a-narrow-stance-squat-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/quadriceps,Legs,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.0,"Stand with feet shoulder-width apart, lower down as if sitting back into a chair, keeping knees over toes. Drive through heels to stand."
Kneeling cable oblique crunch,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-36c-kneeling-cable-oblique-crunch-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-36c-kneeling-cable-oblique-crunch-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/cable,Cable,9.0,"A moderately rated exercise targeting the Abdominals using cable. Kneeling cable oblique crunch is designed to improve strength, flexibility, and endurance."
Reverse Grip Triceps Pushdown,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-19c-reverse-grip-cable-straight-bar-push-down-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-19c-reverse-grip-cable-straight-bar-push-down-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/equipment/cable,Cable,9.0,"A moderately rated exercise targeting the Triceps using cable. Reverse Grip Triceps Pushdown is designed to improve strength, flexibility, and endurance."
Bear crawl sled drag,https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-153s-bear-crawl-sled-drag-m1-crop-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-153s-bear-crawl-sled-drag-m4-crop-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/quadriceps,Legs,https://www.bodybuilding.com/exercises/equipment/other,Other,9.0,"A moderately rated exercise targeting the Quadriceps using other. Bear crawl sled drag is designed to improve strength, flexibility, and endurance."
Rocky Pull-Ups/Pulldowns,https://www.bodybuilding.com/exercises/exerciseImages/sequences/279/Male/m/279_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/279/Male/m/279_2.jpg,https://www.bodybuilding.com/exercises/muscle/lats,Back,https://www.bodybuilding.com/exercises/equipment/other,Other,9.0,"A moderately rated exercise targeting the Lats using other. Rocky Pull-Ups/Pulldowns is designed to improve strength, flexibility, and endurance."
Snatch-Grip Behind-The-Neck Overhead Press,,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.0,"A moderately rated exercise targeting the Shoulders using barbell. Snatch-Grip Behind-The-Neck Overhead Press is designed to improve strength, flexibility, and endurance."
Box Squat with Bands,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Legs,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.0,"Stand with feet shoulder-width apart, lower down as if sitting back into a chair, keeping knees over toes. Drive through heels to stand."
Flexor Incline Dumbbell Curls,,,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.0,"Stand with feet shoulder-width, hold dumbbells with palms facing forward, and curl towards your shoulders. Keep elbows stationary."
Machine Bicep Curl,,,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/equipment/machine,Machine,9.0,"A moderately rated exercise targeting the Biceps using machine. Machine Bicep Curl is designed to improve strength, flexibility, and endurance."
Car driver,,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/other,Other,9.0,"A moderately rated exercise targeting the Shoulders using other. Car driver is designed to improve strength, flexibility, and endurance."
Alternating Deltoid Raise,,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.0,"A moderately rated exercise targeting the Shoulders using dumbbell. Alternating Deltoid Raise is designed to improve strength, flexibility, and endurance."
Hanging Oblique Knee Raise,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-120c-hanging-oblique-crunch-m1-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-120c-hanging-oblique-crunch-m2-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.0,"A moderately rated exercise targeting the Abdominals using body only. Hanging Oblique Knee Raise is designed to improve strength, flexibility, and endurance."
Bodyweight Flyes,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-182s-double-bar-roll-out-chest-fly-m1-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-182s-double-bar-roll-out-chest-fly-m2-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/chest,Chest,https://www.bodybuilding.com/exercises/equipment/ez-curl-bar,E-Z Curl Bar,9.0,"A moderately rated exercise targeting the Chest using e-z curl bar. Bodyweight Flyes is designed to improve strength, flexibility, and endurance."
Standing Calf Raises,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-117s-standing-calf-raise-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-117s-standing-calf-raise-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/calves,Legs,https://www.bodybuilding.com/exercises/equipment/machine,Machine,9.0,"A moderately rated exercise targeting the Calves using machine. Standing Calf Raises is designed to improve strength, flexibility, and endurance."
Push-Ups - Close Triceps Position,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-104a-close-push-up-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-104a-close-push-up-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.0,"A moderately rated exercise targeting the Triceps using body only. Push-Ups - Close Triceps Position is designed to improve strength, flexibility, and endurance."
One-Arm Long Bar Row,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-124s-single-arm-landmine-bent-over-row-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-124s-single-arm-landmine-bent-over-row-m3-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/middle-back,Back,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.0,"A moderately rated exercise targeting the Middle Back using barbell. One-Arm Long Bar Row is designed to improve strength, flexibility, and endurance."
Overhead cable curl,,,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/equipment/cable,Cable,9.0,"A moderately rated exercise targeting the Biceps using cable. Overhead cable curl is designed to improve strength, flexibility, and endurance."
Single-dumbbell front raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18d-single-dumbbell-front-raise-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18d-single-dumbbell-front-raise-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.0,"A moderately rated exercise targeting the Shoulders using dumbbell. Single-dumbbell front raise is designed to improve strength, flexibility, and endurance."
Incline cable chest fly,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-10c-incline-cable-chest-fly-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-10c-incline-cable-chest-fly-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/chest,Chest,https://www.bodybuilding.com/exercises/equipment/cable,Cable,9.0,"A moderately rated exercise targeting the Chest using cable. Incline cable chest fly is designed to improve strength, flexibility, and endurance."
Single-leg depth squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-68e-single-leg-depth-squat-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-68e-single-leg-depth-squat-m4-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/quadriceps,Legs,https://www.bodybuilding.com/exercises/equipment/bands,Bands,9.0,"Stand with feet shoulder-width apart, lower down as if sitting back into a chair, keeping knees over toes. Drive through heels to stand."
Dumbbell suitcase crunch,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50d-dumbbell-suitcase-crunch-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50d-dumbbell-suitcase-crunch-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/medicine-ball,Medicine Ball,9.0,"A moderately rated exercise targeting the Abdominals using medicine ball. Dumbbell suitcase crunch is designed to improve strength, flexibility, and endurance."
Plate Twist,https://www.bodybuilding.com/exercises/exerciseImages/sequences/106/Male/m/106_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/106/Male/m/106_2.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/other,Other,9.0,"A moderately rated exercise targeting the Abdominals using other. Plate Twist is designed to improve strength, flexibility, and endurance."
Single-leg cable hip extension,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-43c-single-leg-cable-hip-extension-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-43c-single-leg-cable-hip-extension-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/glutes,Legs,https://www.bodybuilding.com/exercises/equipment/cable,Cable,9.0,"A moderately rated exercise targeting the Glutes using cable. Single-leg cable hip extension is designed to improve strength, flexibility, and endurance."
Weighted Jump Squat,https://www.bodybuilding.com/exercises/exerciseImages/sequences/887/Male/m/887_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/887/Male/m/887_2.jpg,https://www.bodybuilding.com/exercises/muscle/quadriceps,Legs,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.0,"Stand with feet shoulder-width apart, lower down as if sitting back into a chair, keeping knees over toes. Drive through heels to stand."
Squat with Chains,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Legs,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.0,"Stand with feet shoulder-width apart, lower down as if sitting back into a chair, keeping knees over toes. Drive through heels to stand."
Gorilla Chin/Crunch,,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.0,"A moderately rated exercise targeting the Abdominals using body only. Gorilla Chin/Crunch is designed to improve strength, flexibility, and endurance."
Kneeling cable triceps extension,,,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/equipment/cable,Cable,9.0,"A moderately rated exercise targeting the Triceps using cable. Kneeling cable triceps extension is designed to improve strength, flexibility, and endurance."
Kneeling Cable Crunch With Alternating Oblique Twists,,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/finder,Cables,8.9,"A moderately rated exercise targeting the Abdominals using cables. Kneeling Cable Crunch With Alternating Oblique Twists is designed to improve strength, flexibility, and endurance."
Bicycling,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Legs,https://www.bodybuilding.com/exercises/equipment/other,Other,8.9,"A moderately rated exercise targeting the Quadriceps using other. Bicycling is designed to improve strength, flexibility, and endurance."
Arnold press,,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,8.9,"A moderately rated exercise targeting the Shoulders using dumbbell. Arnold press is designed to improve strength, flexibility, and endurance."
Weighted Crunches,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50d-dumbbell-suitcase-crunch-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50d-dumbbell-suitcase-crunch-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/other,Other,8.9,"A moderately rated exercise targeting the Abdominals using other. Weighted Crunches is designed to improve strength, flexibility, and endurance."
Single-arm cable triceps extension,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-31c-single-arm-cable-triceps-extension-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-31c-single-arm-cable-triceps-extension-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/equipment/cable,Cable,8.9,"A moderately rated exercise targeting the Triceps using cable. Single-arm cable triceps extension is designed to improve strength, flexibility, and endurance."
Barbell roll-out,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,8.9,"A moderately rated exercise targeting the Abdominals using barbell. Barbell roll-out is designed to improve strength, flexibility, and endurance."
Kneeling cable crunch,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-35c-kneeling-cable-crunch-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-35c-kneeling-cable-crunch-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/cable,Cable,8.9,"A moderately rated exercise targeting the Abdominals using cable. Kneeling cable crunch is designed to improve strength, flexibility, and endurance."
Exercise Ball Pull-In,,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/exercise-ball,Exercise Ball,8.9,"A moderately rated exercise targeting the Abdominals using exercise ball. Exercise Ball Pull-In is designed to improve strength, flexibility, and endurance."
Hanging leg raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-9m-hanging-leg-raise-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-9m-hanging-leg-raise-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,8.9,"A moderately rated exercise targeting the Abdominals using body only. Hanging leg raise is designed to improve strength, flexibility, and endurance."
Barbell Ab Rollout - On Knees,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,8.9,"A moderately rated exercise targeting the Abdominals using barbell. Barbell Ab Rollout - On Knees is designed to improve strength, flexibility, and endurance."
Barbell Squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50b-barbell-back-squat-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50b-barbell-back-squat-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/quadriceps,Legs,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,8.9,"Stand with feet shoulder-width apart, lower down as if sitting back into a chair, keeping knees over toes. Drive through heels to stand."
Decline barbell bench press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-34n-decline-barbell-bench-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-34n-decline-barbell-bench-press-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/chest,Chest,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,8.9,"Lie on a bench, grip the barbell wider than shoulder-width, lower it to mid-chest, and press up until arms are extended."
Dumbbell Bicep Curl,,,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,8.9,"A moderately rated exercise targeting the Biceps using dumbbell. Dumbbell Bicep Curl is designed to improve strength, flexibility, and endurance."
Dumbbell Goblet Squat,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Legs,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,8.9,"Stand with feet shoulder-width apart, lower down as if sitting back into a chair, keeping knees over toes. Drive through heels to stand."
Dumbbell squat,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Legs,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,8.9,"Stand with feet shoulder-width apart, lower down as if sitting back into a chair, keeping knees over toes. Drive through heels to stand."
Barbell front squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-51b-barbell-front-squat-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-51b-barbell-front-squat-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/quadriceps,Legs,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,8.9,"Stand with feet shoulder-width apart, lower down as if sitting back into a chair, keeping knees over toes. Drive through heels to stand."
Close-grip pull-down,,,https://www.bodybuilding.com/exercises/muscle/lats,Back,https://www.bodybuilding.com/exercises/equipment/cable,Cable,8.9,"A moderately rated exercise targeting the Lats using cable. Close-grip pull-down is designed to improve strength, flexibility, and endurance."
Triceps Pushdown - Rope Attachment,,,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/finder,Cables,8.9,"A moderately rated exercise targeting the Triceps using cables. Triceps Pushdown - Rope Attachment is designed to improve strength, flexibility, and endurance."
Side-to-side box skip,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-69e-side-to-side-box-skip-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-69e-side-to-side-box-skip-m3-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/quadriceps,Legs,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,8.9,"A moderately rated exercise targeting the Quadriceps using body only. Side-to-side box skip is designed to improve strength, flexibility, and endurance."
Smith machine shoulder press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-alt-31t-smith-machine-shoulder-press-m1-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/machine,Machine,8.9,"A moderately rated exercise targeting the Shoulders using machine. Smith machine shoulder press is designed to improve strength, flexibility, and endurance."
Seated triceps press,,,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,8.9,"A moderately rated exercise targeting the Triceps using dumbbell. Seated triceps press is designed to improve strength, flexibility, and endurance."
Pull-up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-92c-pull-up-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-92c-pull-up-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/lats,Back,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,8.9,"A moderately rated exercise targeting the Lats using body only. Pull-up is designed to improve strength, flexibility, and endurance."
Wide-grip bench press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-84e-wide-grip-bench-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-84e-wide-grip-bench-press-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/chest,Chest,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,8.9,"Lie on a bench, grip the barbell wider than shoulder-width, lower it to mid-chest, and press up until arms are extended."
Close-grip EZ-bar curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47s-close-grip-ez-bar-curl-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47s-close-grip-ez-bar-curl-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,8.9,"A moderately rated exercise targeting the Biceps using barbell. Close-grip EZ-bar curl is designed to improve strength, flexibility, and endurance."
T-Bar Row,https://www.bodybuilding.com/images/2020/xdb/3381_1.jpg,https://www.bodybuilding.com/images/2020/xdb/3381_2.jpg,https://www.bodybuilding.com/exercises/muscle/middle-back,Back,https://www.bodybuilding.com/exercises/equipment/other,Other,8.9,"A moderately rated exercise targeting the Middle Back using other. T-Bar Row is designed to improve strength, flexibility, and endurance."
Bent Over Two-Arm Long Bar Row,https://www.bodybuilding.com/exercises/exerciseImages/sequences/18/Male/m/18_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/18/Male/m/18_2.jpg,https://www.bodybuilding.com/exercises/muscle/middle-back,Back,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,8.9,"A moderately rated exercise targeting the Middle Back using barbell. Bent Over Two-Arm Long Bar Row is designed to improve strength, flexibility, and endurance."
Muscle Up,,,https://www.bodybuilding.com/exercises/muscle/lats,Back,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,8.9,"A moderately rated exercise targeting the Lats using body only. Muscle Up is designed to improve strength, flexibility, and endurance."
Machine shoulder press,,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/machine,Machine,8.9,"A moderately rated exercise targeting the Shoulders using machine. Machine shoulder press is designed to improve strength, flexibility, and endurance."
Incline EZ-bar skullcrusher,,,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,8.9,"A moderately rated exercise targeting the Triceps using barbell. Incline EZ-bar skullcrusher is designed to improve strength, flexibility, and endurance."
Alternating sit-through with crunch,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-124s-single-arm-landmine-bent-over-row-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-124s-single-arm-landmine-bent-over-row-m3-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/middle-back,Back,https://www.bodybuilding.com/exercises/equipment/other,Other,8.9,"A moderately rated exercise targeting the Middle Back using other. Alternating sit-through with crunch is designed to improve strength, flexibility, and endurance."
Wide-Grip Decline Barbell Bench Press,,,https://www.bodybuilding.com/exercises/muscle/chest,Chest,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,8.9,"Lie on a bench, grip the barbell wider than shoulder-width, lower it to mid-chest, and press up until arms are extended."
Rower,,,https://www.bodybuilding.com/exercises/muscle/middle-back,Back,https://www.bodybuilding.com/exercises/equipment/machine,Machine,8.9,"A moderately rated exercise targeting the Middle Back using machine. Rower is designed to improve strength, flexibility, and endurance."
Snatch Deadlift,,,https://www.bodybuilding.com/exercises/muscle/hamstrings,Legs,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,8.9,"Stand with feet hip-width, grip the bar outside your knees, lift by pushing through heels, keeping the bar close to your body."
Front Plate Raise,,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/other,Other,8.9,"A moderately rated exercise targeting the Shoulders using other. Front Plate Raise is designed to improve strength, flexibility, and endurance."
Decline Close-Grip Bench To Skull Crusher,https://www.bodybuilding.com/exercises/exerciseImages/sequences/288/Male/m/288_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/288/Male/m/288_2.jpg,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,8.9,"A moderately rated exercise targeting the Triceps using barbell. Decline Close-Grip Bench To Skull Crusher is designed to improve strength, flexibility, and endurance."
Lying Leg Curls,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20m-lying-leg-curl-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20m-lying-leg-curl-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/hamstrings,Legs,https://www.bodybuilding.com/exercises/equipment/machine,Machine,8.9,"A moderately rated exercise targeting the Hamstrings using machine. Lying Leg Curls is designed to improve strength, flexibility, and endurance."
Cross-body hammer curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-4d-cross-body-hammer-curl-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-4d-cross-body-hammer-curl-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,8.9,"A moderately rated exercise targeting the Biceps using dumbbell. Cross-body hammer curl is designed to improve strength, flexibility, and endurance."
Shotgun row,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-37c-shotgun-row-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-37c-shotgun-row-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/lats,Back,https://www.bodybuilding.com/exercises/equipment/cable,Cable,8.9,"A moderately rated exercise targeting the Lats using cable. Shotgun row is designed to improve strength, flexibility, and endurance."
Ab Roller,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-2s-ab-wheel-roll-out-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-2s-ab-wheel-roll-out-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/other,Other,8.9,"A moderately rated exercise targeting the Abdominals using other. Ab Roller is designed to improve strength, flexibility, and endurance."
Reverse-grip incline dumbbell bench press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-4n-reverse-grip-incline-dumbbell-bench-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-4n-reverse-grip-incline-dumbbell-bench-press-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/chest,Chest,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,8.9,"Lie on a bench, grip the barbell wider than shoulder-width, lower it to mid-chest, and press up until arms are extended."
